infinitive,class,stress
населя́ть,1,a
прилета́ть,1,a
прокля́сть,irreg,
объяви́ть,4,c
прода́ть,irreg,
постро́ить,4,a
изучи́ть,4,c
прорва́ть,6,b
проры́ть,12,a
выдава́ть,13,b
сдава́ться,13,b
преклони́ть,4,b
задрема́ть,6,c
оседла́ть,1,a
полыхну́ть,3,b
удра́ть,6,b
удира́ть,1,a
погоди́ть,4,b
беси́ть,4,c
разбира́ться,1,a
отка́зываться,1,a
подпи́сывать,1,a
подпи́сываться,1,a
удовлетвори́ть,4,b
удовлетворя́ть,1,a
фалломорфи́ровать,2,a
выража́ть,1,a
вы́селить,4,a
возвы́ситься,4,a
возврати́ться,4,b
вы́разить,4,a
вы́тереть,9,a
опа́ливать,1,a
дерзну́ть,3,b
добы́ть,irreg,
добива́ться,1,a
дока́зывать,1,a
замени́ть,4,c
запуга́ть,1,a
заня́ться,14,b
заполня́ть,1,a
иссуши́ть,4,c
клю́нуть,3,a
искорени́ть,4,b
изме́рить,4,a
ка́пать,1,a
ки́нуть,3,a
наклони́ть,4,c
обману́ть,3,c
изнаси́ловать,2,a
насели́ть,4,b
нырну́ть,3,b
обня́ть,14,c
настоя́ть,5,b
наступа́ть,1,a
обучи́ть,4,c
опоя́сать,6,a
опознава́ть,13,b
отряди́ть,4,b
отпочкова́ться,2,a
осуществи́ть,4,b
отказа́ться,6,c
оторва́ть,6,b
отдели́ть,4,c
записа́ться,6,c
запи́сываться,1,a
перепры́гнуть,3,a
отдава́ть,13,b
заслужи́ть,4,c
сдава́ть,13,b
заслу́живать,1,a
поглоти́ть,4,c
сда́ть,irreg,
подстрекну́ть,3,b
подсчита́ть,1,a
дви́нуться,3,a
плю́нуть,3,a
поздра́вить,4,a
дви́гаться,6,a
притяну́ть,3,c
примани́ть,4,c
предпоче́сть,7,b
пренебре́чь,8,b
прони́кнуть,3,a
устана́вливать,1,a
разъедини́ть,4,b
разде́ть,15,a
произноси́ть,4,c
расплета́ть,1,a
пропада́ть,1,a
пропа́дать,1,a
скрыва́ться,1,a
скры́ть,12,a
су́нуть,3,a
упомяну́ть,3,c
утвержда́ть,1,a
усугуби́ть,4,b
уте́шить,4,a
упрекну́ть,3,b
успева́ть,1,a
установи́ть,4,c
служи́ть,4,c
ду́ть,12,a
вводи́ть,4,c
ввести́,7,b
терпе́ть,5,c
эякули́ровать,2,a
отплыва́ть,1,a
отплы́ть,16,b
обходи́ть,4,c
обойти́,irreg,
перегну́ть,3,b
следи́ть,4,b
окружа́ть,1,a
изводи́ть,4,c
уводи́ть,4,c
заводи́ть,4,c
расстава́ться,13,b
наводи́ть,4,b
своди́ть,4,c
вына́шивать,1,a
доноси́ть,4,c
рассма́тривать,1,a
убаю́кать,1,a
дви́нуть,3,a
повора́чиваться,1,a
повора́чивать,1,a
превраща́ться,1,a
поги́бнуть,3,a
переходи́ть,4,c
посме́ть,1,a
рассмотре́ть,5,c
объедини́ться,4,b
вздро́гнуть,3,a
тащи́ть,4,c
предполага́ть,1,a
предположи́ть,4,c
истери́ть,4,b
застрева́ть,1,a
зави́сеть,5,a
заходи́ть,4,c
маха́ть,6,c
разубеди́ть,4,b
соста́вить,4,a
составля́ть,1,a
жа́ловаться,2,a
шути́ть,4,c
возвраща́ть,1,a
возврати́ть,4,b
вали́ть,4,c
каса́ться,1,a
покида́ть,1,a
верну́ть,3,b
пожа́ловаться,2,a
брани́ться,4,b
выра́щивать,1,a
поторопи́ться,4,c
расти́ть,4,b
веле́ть,5,b
опра́вдываться,1,a
оправда́ться,1,a
вы́рвать,6,a
вырыва́ть,1,a
потруди́ться,4,c
заже́чь,8,b
постира́ть,1,a
отпра́вить,4,a
отправля́ть,1,a
нажа́ть,14,b
разруша́ть,1,a
согну́ть,3,b
жале́ть,1,a
вздохну́ть,3,b
вздыха́ть,1,a
возни́кнуть,3,a
возника́ть,1,a
брони́ровать,2,a
бронирова́ть,2,a
бу́хать,1,a
буха́ть,1,a
верши́ть,4,b
возбраня́ть,1,a
воззри́ться,4,b
вы́зваться,6,a
вызыва́ться,1,a
громи́ть,4,b
кивну́ть,3,b
дева́ть,1,a
де́ть,15,a
завоёвывать,1,a
завоева́ть,2,a
заложи́ть,4,c
закла́дывать,1,a
запере́ться,9,b
запира́ться,1,a
зати́хнуть,3,a
затиха́ть,1,a
захло́пать,1,a
засе́сть,7,a
каню́чить,4,a
кля́нчить,4,a
окре́пнуть,3,a
кре́пнуть,3,a
манки́ровать,2,a
мни́ть,4,b
оби́деться,5,a
обяза́ться,6,c
обя́зываться,1,a
опла́кивать,1,a
опла́кать,6,a
отме́тить,4,a
отмеча́ть,1,a
плесну́ть,3,b
плеска́ть,6,c
погрести́,7,b
подве́ргнуть,3,a
направля́ть,1,a
загоре́ть,5,b
подве́ргнуться,3,a
подверга́ться,1,a
послу́шаться,1,a
подверга́ть,1,a
слу́шаться,1,a
постоя́ть,5,b
почива́ть,1,a
напада́ть,1,a
напа́дать,1,a
запаса́ть,1,a
призва́ть,6,b
призыва́ть,1,a
противопоста́вить,4,a
противопоставля́ть,1,a
пусти́ть,4,c
простуди́ться,4,c
простужа́ться,1,a
подсказа́ть,6,c
подска́зывать,1,a
пораде́ть,1,a
раде́ть,1,a
срази́ть,4,b
рази́ть,4,b
реализова́ть,2,a
обду́мать,1,a
сачкова́ть,2,a
возде́рживаться,1,a
воздержа́ться,5,c
сниска́ть,1,a
стена́ть,1,a
напи́ться,11,b
тасова́ть,2,a
упусти́ть,4,c
упуска́ть,1,a
уви́деться,5,a
ви́деться,5,a
пое́сть,irreg,
управля́ть,1,a
шали́ть,4,b
поза́втракать,1,a
ожи́ть,16,b
оце́нивать,1,a
перемести́ть,4,b
прийти́сь,irreg,
возража́ть,1,a
возопи́ть,4,b
взгнести́,7,b
загляну́ть,3,c
ска́зывать,1,a
язви́ть,4,b
зажи́ть,16,b
укра́сить,4,a
серди́ться,4,c
волнова́ться,2,a
выпуска́ть,1,a
надоеда́ть,1,a
усво́ить,4,a
водрузи́ть,4,b
разобра́ться,6,b
прибли́зиться,4,a
подсма́тривать,1,a
подслу́шивать,1,a
усва́ивать,1,a
состоя́ть,5,b
предъяви́ть,4,c
помеча́ть,1,a
яви́ться,4,c
получа́ться,1,a
ночева́ть,2,a
сби́ть,11,b
прое́хать,irreg,
почи́стить,4,a
пожи́ть,16,b
видне́ться,1,a
свали́ться,4,c
уложи́ть,4,c
мелькну́ть,3,b
заду́мываться,1,a
прояви́ть,4,c
трясти́сь,7,b
жева́ть,2,b
укла́дывать,1,a
мелька́ть,1,a
проявля́ть,1,a
сва́ливаться,1,a
пожева́ть,2,b
заду́маться,1,a
поскользну́ться,3,b
утоли́ть,4,b
сбива́ть,1,a
жонгли́ровать,2,a
расши́рить,4,a
препода́ть,irreg,
преподава́ть,13,b
пошути́ть,4,c
разбаза́рить,4,a
толкова́ть,2,a
побы́ть,irreg,
заверя́ть,1,a
стимули́ровать,2,a
сконфу́зиться,4,a
отре́чься,8,b
конфу́зить,4,a
подбива́ть,1,a
соблюсти́,7,b
уменьша́ть,1,a
отрека́ться,1,a
соблюда́ть,1,a
поощря́ть,1,a
смути́ться,4,b
уменьши́ть,4,a
подгова́ривать,1,a
нау́ськивать,1,a
соде́йствовать,2,a
смуща́ть,1,a
руби́ть,4,c
поощри́ть,4,b
мсти́ть,4,b
обруга́ть,1,a
вобра́ть,6,b
злоупотреби́ть,4,b
вбира́ть,1,a
сверка́ть,1,a
впита́ть,1,a
оби́деть,5,a
пыла́ть,1,a
обматери́ть,4,b
уско́рить,4,a
укора́чивать,1,a
расторга́ть,1,a
уско́риться,4,a
впи́тывать,1,a
спуска́ться,1,a
матери́ть,4,b
усека́ть,1,a
уре́зывать,1,a
приспосо́биться,4,a
ограни́чивать,1,a
примыка́ть,1,a
ускоря́ться,1,a
обижа́ть,1,a
ускоря́ть,1,a
сопровожда́ть,1,a
отчита́ться,1,a
сожи́тельствовать,2,a
согласо́вываться,1,a
отпусти́ть,4,c
присоединя́ться,1,a
сопу́тствовать,2,a
уклоня́ться,1,a
убавля́ть,1,a
отчи́тываться,1,a
грани́чить,4,a
приспосо́бить,4,a
заверша́ть,1,a
отпуска́ть,1,a
приба́вить,4,a
приспоса́бливать,1,a
спусти́ться,4,c
выёбываться,1,a
оправда́ть,1,a
выде́лываться,1,a
опра́вдывать,1,a
дура́читься,4,a
расплати́ться,4,c
заверши́ть,4,b
влия́ть,1,a
аннули́ровать,2,a
побужда́ть,1,a
сумми́ровать,2,a
ока́зывать,1,a
упира́ться,1,a
прибавля́ть,1,a
распла́чиваться,1,a
акценти́ровать,2,a
жа́ловать,2,a
гармони́ровать,2,a
кочевря́житься,4,a
акклиматизи́ровать,2,a
адопти́роваться,2,a
руга́ть,1,a
вы́платить,4,a
подгоня́ть,1,a
акклиматизи́роваться,2,a
загова́ривать,1,a
укороти́ть,4,b
предоставля́ть,1,a
адапти́ровать,2,a
приспоса́бливаться,1,a
разы́грывать,1,a
интегри́роваться,2,a
подогна́ть,5,c
выпла́чивать,1,a
сопроводи́ть,4,b
подстро́ить,4,a
адапти́роваться,2,a
прили́пнуть,3,a
оттяну́ть,3,c
отложи́ть,4,c
отсро́чить,4,a
прикле́иться,4,a
отрегули́ровать,2,a
восторга́ться,1,a
оття́гивать,1,a
откла́дывать,1,a
прилипа́ть,1,a
прикле́иваться,1,a
отсро́чивать,1,a
предостерега́ть,1,a
наставля́ть,1,a
порица́ть,1,a
приде́рживаться,1,a
казни́ть,4,b
восхища́ться,1,a
разыгра́ть,1,a
присма́тривать,1,a
пригля́дывать,1,a
усынови́ть,4,b
удочери́ть,4,b
наста́вить,4,a
обожа́ть,1,a
усыновля́ть,1,a
рискова́ть,2,a
удочеря́ть,1,a
публикова́ть,2,a
информи́ровать,2,a
рискну́ть,3,b
вли́ться,11,b
извеща́ть,1,a
преклоня́ться,1,a
влива́ться,1,a
пропаганди́ровать,2,a
отста́ивать,1,a
теса́ть,6,c
боготвори́ть,4,b
оповеща́ть,1,a
уведомля́ть,1,a
веща́ть,1,a
прикрепля́ть,1,a
прики́дываться,1,a
ста́рить,4,a
поража́ть,1,a
волнова́ть,2,a
притворя́ться,1,a
предоста́вить,4,a
взволнова́ть,2,a
ограни́чить,4,a
